民,民 people  ミン  たみ
身,"身 body  シン  み body, person"
不,不 not  フ  ブ
口,口 mouth  コウ  ク  くち
川,川 river  セン  かわ
東,東 east  トウ  ひがし
相,相 minister  ソウ  ショウ  あい- mutual
多,多 many  タ  おお.い
法,法 method  ホウ  ハッ  ホッ
全,全 every  ゼン  まった.く entirely  すべ.て everything
聞,"聞 listen  ブン  モン  き.く to listen, to hear  き.こえる to be heard"
情,情 emotion  ジョウ  セイ  なさ.け emotion; circumstances
野,野 field  ヤ  の
考,"考 think  コウ  かんが.える to think about, consider"
向,向 confront  コウ  む.かう to confront  む.く to turn towards  む.こう opposite direction  む.ける to direct towards
平,平 flat  ヘイ  ビョウ  たい.ら  ひら ordinary; flat
成,"成 become  セイ  ジョウ  な.る to become  な.す to perform, to accomplish"
軍,軍 army  グン
開,開 open  カイ  あ.く to (be) open  あ.ける  ひら.く to open (something)  ひら.ける to open out (eg view)
教,教 teach  キョウ  おし.える to teach  おそ.わる to be taught
経,経 elapse  ケイ  キョウ  へ.る to elapse
信,信 trust  シン
近,近 close  キン  ちか.い
以,以 or  イ
語,"語 talk  ゴ  かた.る to talk, relate  かた.らう to talk together, chat"
面,"面 mask  メン  おもて mask, features, surface  おも surface  つら face"
連,"連 take  レン  つ.れる to take, to lead  つら.ねる to line up  つら.なる to extend"
問,問 question  モン  と.い  と.う to ask  とん wholesale
原,原 meadow  ゲン  はら
顔,顔 face  ガン  かお
正,"正 correct  セイ  ショウ  ただ.しい  ただ.す to correct  まさ precise, exact"
機,機 machine  キ  はた loom
九,九 nine  ク  キュウ  ここの.つ
次,次 next  ジ  シ  つぎ  つ.ぐ to come after
数,数 number  スウ  ス  かず  かぞ.える to count
美,美 beautiful  ビ  うつく.しい
回,回 revolve  カイ  エ  まわ.る to revolve  まわ.す to make turn
食,食 eat; food  ショク  ジキ  た.べる to eat  く.う to eat
表,"表 surface  ヒョウ  おもて surface, front  あらわ.す to show, to represent  あらわ.れる to be present, to appear"
八,八 eight  ハチ  や  や.つ  よう
声,声 voice  セイ  ショウ  こえ  こわ-
水,水 water  スイ  みず
報,"報 report  ホウ  むく.いる to compensate, remunerate  👌むく.い reward, recompense"
真,真 truth  シン  ま exactly; deep
味,味 taste  ミ  あじ  あじ.わう to taste
界,界 world  カイ
無,無 not  ム  ブ  な.い
少,少 few  ショウ  すこ.し a little  すく.ない
要,要 need  ヨウ  い.る to need  かなめ pivotal point
海,海 ocean  カイ  うみ
変,"変 unusual  ヘン  か.える to alter, change  か.わる to change"
結,結 bind  ケツ  むす.ぶ  ゆ.わえる to bind  ゆ.う to braid
切,"切 cut  セツ  サイ  き.る to cut  き.れる to break, to snap"
重,"重 heavy  ジュウ  チョウ  おも.い  かさ.なる to be piled up  かさ.ねる to pile up  え -fold, -ply"
天,天 heaven  テン  あめ  あま-
神,神 god  シン  ジン  かみ  かん-  こう-
記,"記 note  キ  しる.す to note, write down"
木,木 tree  モク  ボク  き  こ-
集,集 gather  シュウ  あつ.める to gather  あつ.まる  つど.う to assemble
和,"和 peace  ワ  オ  なご.む to be calmed down  なご.やか calm, gentle  やわ.らぐ to be softened  やわ.らげる to soften; to alleviate"
員,員 employee  イン
引,引 pull  イン  ひ.く to pull  ひ.ける to be over
公,"公 official  コウ  おおやけ official, public"
画,画 draw  ガ  カク
